station_name,latitude,longitude
Allawah,-33.969622,151.1142
Arncliffe,-33.93632778,151.1474028
Artarmon,-33.808652,151.184879
Ashfield,-33.88761,151.1255
Asquith,-33.688573,151.107899
Auburn,-33.84930556,151.03285
Banksia,-33.94534167,151.1404306
Bankstown,-33.91787,151.03464
Bardwell Park,-33.93162222,151.1248028
Beecroft,-33.749607,151.06631
Belmore,-33.91725833,151.0887111
Berala,-33.871865,151.032212
Berowra,-33.623484,151.153035
Beverly Hills,-33.948869,151.08143
Bexley North,-33.937499,151.113194
Birrong,-33.893282,151.023913
Blacktown,-33.76843,150.90735
Bondi Junction,-33.891093,151.247208
Burwood,-33.87729,151.10432
Cabramatta,-33.8949,150.9388
Campbelltown,-34.063659,150.814347
Campsie,-33.910376,151.102579
Canley Vale,-33.886889,150.943652
Canterbury,-33.911877,151.118347
Caringbah,-34.041489,151.122253
Carlton,-33.968325,151.124334
Carramar,-33.884256,150.961347
Casula,-33.94980278,150.9119778
Central,-33.8849,151.2052
Chatswood,-33.797324,151.180887
Cheltenham,-33.755839,151.07865
Chester Hill,-33.8835,150.999385
Circular Quay,-33.8614,151.211
Clarendon,-33.60899722,150.7881611
Clyde,-33.836171,151.017217
Como,-34.0043,151.06802
Concord West,-33.848715,151.085535
Cronulla,-34.055648,151.151472
Croydon,-33.88339,151.11562
Denistone,-33.799838,151.087364
Domestic Airport,-33.93365278,151.1807083
Doonside,-33.76372770779617,150.86918815767132
Dulwich Hill,-33.9111,151.1409
East Hills,-33.961506,150.984979
East Richmond,-33.601875,150.7597833
Eastwood,-33.790178,151.082262
Edgecliff,-33.87911,151.2362
Emu Plains,-33.745595,150.67212
Engadine,-34.06763,151.01473
Epping,-33.773172,151.082219
Erskineville,-33.90098611,151.1852611
Fairfield,-33.87243333,150.9570583
Flemington,-33.86495556,151.0698778
Glenfield,-33.972215,150.89307
Gordon,-33.7561,151.15448
Granville,-33.83320278,151.0124583
Green Square,-33.9061,151.2026
Guildford,-33.8545,150.9844083
Gymea,-34.0349,151.08539
Harris Park,-33.82323611,151.0076889
Heathcote,-34.088199,151.008019
Helensburgh,-34.176937,150.994756
Holsworthy,-33.9632,150.9567722
Homebush,-33.86695556,151.0865083
Hornsby,-33.70298889,151.0985667
Hurlstone Park,-33.9105,151.1319
Hurstville,-33.967259,151.102368
Ingleburn,-33.9974,150.8647
International Airport,-33.93405833,151.1657833
Jannali,-34.016,151.06458
Killara,-33.76552,151.16167
Kings Cross,-33.87468,151.22242
Kingsgrove,-33.94064444,151.1005112
Kingswood,-33.758255,150.720212
Kirrawee,-34.03498334,151.071175
Kogarah,-33.96223056,151.1326139
Lakemba,-33.9201,151.0757
Leightonfield,-33.881478,150.9848
Leppington,-33.954983,150.80814399999997
Leumeah,-34.050928,150.830266
Lewisham,-33.89342,151.14762
Lidcombe,-33.863875,151.0451917
Lindfield,-33.77513,151.169
Liverpool,-33.92495278,150.9271556
Loftus,-34.04511944,151.0512778
Macarthur,-34.071893,150.79687
Macdonaldtown,-33.8967,151.1863
Macquarie Fields,-33.985,150.878527
Marayong,-33.7461,150.90016
Marrickville,-33.9143,151.1547
Martin Place,-33.86785,151.21014
Mascot,-33.923,151.1877
Meadowbank,-33.816357,151.090019
Merrylands,-33.83639167,150.992925
Milsons Point,-33.8461,151.2118
Minto,-34.027331,150.842537
Miranda,-34.036244,151.102121
Mortdale,-33.9707,151.08122
Mount Colah,-33.67199722,151.1145306
